feature,importance,importance_rank,business_category,business_interpretation
EXT_SOURCE_3,0.10658523,1,external_credit_score,External source score feature that may summarize third-party credit risk signals.
EXT_SOURCE_2,0.08228547,2,external_credit_score,External source score feature that may summarize third-party credit risk signals.
FLAG_DOCUMENT_3,0.035644665,3,other,Model input feature retained for predictive ranking and reviewed through feature importance.
AMT_REQ_CREDIT_BUREAU_HOUR,0.03372369,4,external_bureau_history,External bureau history feature summarizing prior or active credit records.
credit_goods_ratio,0.028100453,5,affordability_and_exposure,"Credit amount relative to goods price, approximating financing coverage and borrower self-funding capacity."
bureau_debt_credit_ratio,0.026721831,6,affordability_and_exposure,"Amount-based feature related to borrower affordability, income, credit size, or exposure."
prev_refusal_rate,0.025915673,7,previous_application_behavior,"Share of previous applications refused, summarizing historical rejection frequency."
FLAG_EMP_PHONE,0.02499943,8,other,Model input feature retained for predictive ranking and reviewed through feature importance.
EXT_SOURCE_1,0.024527472,9,external_credit_score,External source score feature that may summarize third-party credit risk signals.
APARTMENTS_MEDI,0.022469077,10,other,Model input feature retained for predictive ranking and reviewed through feature importance.
DAYS_BIRTH,0.020695342,11,demographic_and_employment,Demographic or employment timing feature used as a borrower profile signal.
credit_annuity_ratio,0.020486712,12,affordability_and_exposure,"Credit amount relative to scheduled repayment amount, approximating repayment horizon or amortization pressure."
LIVINGAREA_MEDI,0.01991169,13,other,Model input feature retained for predictive ranking and reviewed through feature importance.
avg_down_payment_prev,0.019333,14,previous_application_behavior,"Average previous down payment, a proxy for borrower liquidity in prior applications."
TOTALAREA_MODE,0.01653384,15,other,Model input feature retained for predictive ranking and reviewed through feature importance.
DAYS_EMPLOYED,0.014991297,16,demographic_and_employment,Demographic or employment timing feature used as a borrower profile signal.
AMT_GOODS_PRICE,0.014656456,17,affordability_and_exposure,"Amount-based feature related to borrower affordability, income, credit size, or exposure."
REG_CITY_NOT_LIVE_CITY,0.013905356,18,other,Model input feature retained for predictive ranking and reviewed through feature importance.
OWN_CAR_AGE,0.0135504585,19,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLOORSMAX_AVG,0.013340764,20,other,Model input feature retained for predictive ranking and reviewed through feature importance.
AMT_CREDIT,0.013205443,21,affordability_and_exposure,"Amount-based feature related to borrower affordability, income, credit size, or exposure."
REGION_RATING_CLIENT_W_CITY,0.012756498,22,other,Model input feature retained for predictive ranking and reviewed through feature importance.
AMT_ANNUITY,0.011260218,23,affordability_and_exposure,"Amount-based feature related to borrower affordability, income, credit size, or exposure."
DEF_30_CNT_SOCIAL_CIRCLE,0.011184217,24,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_WORK_PHONE,0.0105126025,25,other,Model input feature retained for predictive ranking and reviewed through feature importance.
n_active_bureau_credits,0.010186767,26,external_bureau_history,External bureau history feature summarizing prior or active credit records.
YEARS_BUILD_MEDI,0.009971638,27,other,Model input feature retained for predictive ranking and reviewed through feature importance.
ELEVATORS_AVG,0.009591539,28,other,Model input feature retained for predictive ranking and reviewed through feature importance.
prev_approval_rate,0.009589534,29,previous_application_behavior,"Share of previous applications approved, summarizing historical lender acceptance."
