feature,mean_abs_shap,shap_rank
EXT_SOURCE_3,0.3487041,1
EXT_SOURCE_2,0.3262088,2
EXT_SOURCE_1,0.1787057,3
credit_goods_ratio,0.12764484,4
credit_annuity_ratio,0.11800487,5
bureau_debt_credit_ratio,0.08965462,6
AMT_ANNUITY,0.084294125,7
DAYS_EMPLOYED,0.08231055,8
DAYS_BIRTH,0.081035525,9
avg_down_payment_prev,0.06903058,10
prev_refusal_rate,0.066247046,11
AMT_GOODS_PRICE,0.04254277,12
OWN_CAR_AGE,0.040836856,13
max_credit_prev,0.037262004,14
n_active_bureau_credits,0.036182243,15
avg_credit_sum,0.035119936,16
avg_annuity_prev,0.03394649,17
FLAG_DOCUMENT_3,0.033671867,18
DAYS_ID_PUBLISH,0.02924419,19
FLAG_WORK_PHONE,0.02645179,20
annuity_income_ratio,0.025481911,21
FLAG_EMP_PHONE,0.023190428,22
REGION_RATING_CLIENT_W_CITY,0.022478841,23
DEF_30_CNT_SOCIAL_CIRCLE,0.020463336,24
n_prev_approved,0.01829894,25
AMT_CREDIT,0.017585935,26
days_decision_mean,0.016809678,27
REG_CITY_NOT_LIVE_CITY,0.015058004,28
DEF_60_CNT_SOCIAL_CIRCLE,0.011557522,29
AMT_REQ_CREDIT_BUREAU_QRT,0.010779124,30
TOTALAREA_MODE,0.0106535405,31
n_closed_bureau_credits,0.010592089,32
prev_approval_rate,0.009629168,33
APARTMENTS_MEDI,0.009590436,34
REGION_POPULATION_RELATIVE,0.008609288,35
total_bureau_debt,0.008222647,36
YEARS_BEGINEXPLUATATION_MODE,0.0069095236,37
DAYS_REGISTRATION,0.0068451576,38
active_credit_ratio,0.0062359856,39
DAYS_LAST_PHONE_CHANGE,0.0060519218,40
avg_credit_prev,0.006004891,41
FLOORSMAX_AVG,0.0057642325,42
avg_days_credit_update,0.005744576,43
credit_income_ratio,0.0055610132,44
CNT_FAM_MEMBERS,0.00495505,45
last_application_days,0.0043948297,46
income_per_family_member,0.0036897885,47
LIVINGAREA_MEDI,0.0032879661,48
FLOORSMAX_MEDI,0.0031435378,49
AMT_REQ_CREDIT_BUREAU_YEAR,0.002653054,50
ELEVATORS_AVG,0.0024891368,51
total_overdue_amount,0.0024758175,52
OBS_60_CNT_SOCIAL_CIRCLE,0.0024075175,53
n_prev_applications,0.0018776115,54
n_prev_refusals,0.001840422,55
AMT_REQ_CREDIT_BUREAU_HOUR,0.0018260351,56
HOUR_APPR_PROCESS_START,0.0018173648,57
YEARS_BUILD_AVG,0.0016573381,58
AMT_INCOME_TOTAL,0.0014158825,59
OBS_30_CNT_SOCIAL_CIRCLE,0.0011305463,60
REGION_RATING_CLIENT,0.0010480746,61
LIVINGAREA_AVG,0.00091426296,62
bureau_record_count,0.0007419147,63
APARTMENTS_MODE,0.0007326681,64
APARTMENTS_AVG,0.0006362918,65
YEARS_BEGINEXPLUATATION_AVG,0.00059647305,66
LIVINGAREA_MODE,0.00051428564,67
BASEMENTAREA_MEDI,0.0004872079,68
COMMONAREA_MODE,0.0004606969,69
FLAG_DOCUMENT_16,0.00041882004,70
LIVINGAPARTMENTS_AVG,0.00039979073,71
LIVINGAPARTMENTS_MODE,0.00038248056,72
ENTRANCES_AVG,0.00035720694,73
REG_CITY_NOT_WORK_CITY,0.00034593293,74
ENTRANCES_MODE,0.00020506783,75
LANDAREA_MEDI,0.00020348871,76
YEARS_BUILD_MEDI,0.00019719992,77
FLAG_DOCUMENT_6,0.0001501395,78
COMMONAREA_AVG,0.00014926301,79
LANDAREA_AVG,0.00014818614,80
NONLIVINGAPARTMENTS_MODE,0.00014225722,81
NONLIVINGAREA_MODE,0.00012574051,82
n_overdue_bureau_records,0.000124388,83
LANDAREA_MODE,0.00011855382,84
FLOORSMIN_AVG,0.000104735795,85
BASEMENTAREA_AVG,7.317042e-05,86
ENTRANCES_MEDI,7.071505e-05,87
max_credit_day_overdue,6.2658495e-05,88
AMT_REQ_CREDIT_BUREAU_WEEK,6.123446e-05,89
AMT_REQ_CREDIT_BUREAU_DAY,5.8775364e-05,90
AMT_REQ_CREDIT_BUREAU_MON,5.3157033e-05,91
NONLIVINGAREA_AVG,4.2996864e-05,92
NONLIVINGAPARTMENTS_AVG,3.142703e-05,93
CNT_CHILDREN,0.0,94
FLAG_PHONE,0.0,95
LIVE_CITY_NOT_WORK_CITY,0.0,96
LIVE_REGION_NOT_WORK_REGION,0.0,97
REG_REGION_NOT_LIVE_REGION,0.0,98
REG_REGION_NOT_WORK_REGION,0.0,99
FLOORSMIN_MEDI,0.0,100
ELEVATORS_MEDI,0.0,101
YEARS_BEGINEXPLUATATION_MEDI,0.0,102
COMMONAREA_MEDI,0.0,103
FLOORSMAX_MODE,0.0,104
FLOORSMIN_MODE,0.0,105
YEARS_BUILD_MODE,0.0,106
ELEVATORS_MODE,0.0,107
BASEMENTAREA_MODE,0.0,108
FLAG_EMAIL,0.0,109
FLAG_MOBIL,0.0,110
FLAG_CONT_MOBILE,0.0,111
FLAG_DOCUMENT_21,0.0,112
FLAG_DOCUMENT_20,0.0,113
FLAG_DOCUMENT_19,0.0,114
FLAG_DOCUMENT_18,0.0,115
NONLIVINGAPARTMENTS_MEDI,0.0,116
LIVINGAPARTMENTS_MEDI,0.0,117
FLAG_DOCUMENT_2,0.0,118
NONLIVINGAREA_MEDI,0.0,119
FLAG_DOCUMENT_15,0.0,120
FLAG_DOCUMENT_17,0.0,121
FLAG_DOCUMENT_13,0.0,122
FLAG_DOCUMENT_14,0.0,123
FLAG_DOCUMENT_10,0.0,124
FLAG_DOCUMENT_9,0.0,125
FLAG_DOCUMENT_12,0.0,126
FLAG_DOCUMENT_11,0.0,127
FLAG_DOCUMENT_8,0.0,128
FLAG_DOCUMENT_7,0.0,129
FLAG_DOCUMENT_4,0.0,130
FLAG_DOCUMENT_5,0.0,131
