NAME_INCOME_TYPE,risk_band,applicant_count,avg_risk_score,observed_default_rate,high_risk_flag_rate,avg_income,avg_credit,avg_annuity,sample_size_note,interpretation_priority
Businessman,Band 1 - Lowest Risk,4,0.01616091125,0.0,0.0,495000.0,1428750.0,99562.5,small_sample_caution,0
Businessman,Band 2,4,0.03336995375,0.0,0.0,866250.0,956250.0,47812.5,small_sample_caution,0
Businessman,Band 3,1,0.052399922,0.0,0.0,900000.0,2250000.0,112500.0,small_sample_caution,0
Businessman,Band 4,1,0.06980412,0.0,0.0,180000.0,495000.0,24750.0,small_sample_caution,0
Commercial associate,Band 1 - Lowest Risk,15363,0.01961300163199246,0.013669205233352862,0.0,237880.35981253663,768610.8544229643,34395.043936731105,large_sample_interpretable,1
Commercial associate,Band 2,14366,0.03618133568815258,0.027843519420854796,0.0,208829.29803842405,724683.4180704441,31289.667838496345,large_sample_interpretable,1
Commercial associate,Band 3,14125,0.056023052681769894,0.048,0.0,199141.49029699113,679246.3216991151,29874.782816482584,large_sample_interpretable,1
Commercial associate,Band 4,14054,0.09025290557883868,0.08538494378824533,0.0,186900.14675537214,614913.5245837484,28414.72756706753,large_sample_interpretable,1
Commercial associate,Band 5 - Highest Risk,13709,0.19818890862615812,0.20949741046028156,0.6652564009045153,178049.8795010577,548679.5982930921,27646.42964475892,large_sample_interpretable,1
Maternity leave,Band 1 - Lowest Risk,1,0.009567768,0.0,0.0,360000.0,765000.0,76500.0,small_sample_caution,0
Maternity leave,Band 2,1,0.033036016,0.0,0.0,135000.0,810000.0,40500.0,small_sample_caution,0
Maternity leave,Band 3,2,0.054795148,0.5,0.0,69750.0,369000.0,13518.0,small_sample_caution,0
Maternity leave,Band 5 - Highest Risk,1,0.18976474,1.0,1.0,67500.0,1435500.0,40896.0,small_sample_caution,0
Pensioner,Band 1 - Lowest Risk,15764,0.020209997190230877,0.014273027150469424,0.0,140815.10233157827,505929.67444810964,24344.15389495052,large_sample_interpretable,1
Pensioner,Band 2,14373,0.035849752023933756,0.03179572810130105,0.0,135940.4088916719,559878.975579211,23983.5,large_sample_interpretable,1
Pensioner,Band 3,11649,0.055539158707614396,0.047901107391192375,0.0,134319.2569546742,562152.3287406644,23729.420164821015,large_sample_interpretable,1
Pensioner,Band 4,8943,0.08901844648607851,0.09079727160907973,0.0,133554.57764844014,557424.7099966455,23494.068768869507,large_sample_interpretable,1
Pensioner,Band 5 - Highest Risk,4633,0.17841580987804886,0.2007338657457371,0.5594647096913447,133542.83628318584,535345.8305633499,23346.9460392834,large_sample_interpretable,1
State servant,Band 1 - Lowest Risk,5663,0.019268211563446914,0.011478015186297015,0.0,203087.0484019071,742480.0380540349,31711.60490992582,large_sample_interpretable,1
State servant,Band 2,4404,0.03599274830245229,0.022706630336058128,0.0,183165.2489816076,708085.6471389646,29316.339237057222,large_sample_interpretable,1
State servant,Band 3,4162,0.056023192988467065,0.038923594425756845,0.0,173787.95583012974,679877.8951225373,27994.23395818313,large_sample_interpretable,1
State servant,Band 4,3832,0.09020363023851777,0.07802713987473904,0.0,169121.68003653444,623876.466466597,27412.221613155834,large_sample_interpretable,1
State servant,Band 5 - Highest Risk,3642,0.19827501644151538,0.17105985722130698,0.6496430532674354,157257.465815486,547410.2742998352,26413.769357495883,large_sample_interpretable,1
Student,Band 1 - Lowest Risk,4,0.018763381500000002,0.0,0.0,196875.0,364956.75,25583.625,small_sample_caution,0
Student,Band 2,2,0.0364819505,0.0,0.0,141750.0,597636.0,25233.75,small_sample_caution,0
Student,Band 3,5,0.058390943400000006,0.0,0.0,225900.0,632452.5,27415.8,small_sample_caution,0
Student,Band 4,3,0.08396524333333333,0.0,0.0,150000.0,492589.5,24538.5,small_sample_caution,0
Student,Band 5 - Highest Risk,4,0.2347083475,0.0,0.75,104625.0,474761.25,22471.875,small_sample_caution,0
Unemployed,Band 1 - Lowest Risk,1,0.01656209,0.0,0.0,225000.0,720000.0,36000.0,small_sample_caution,0
Unemployed,Band 2,3,0.041518405333333334,0.0,0.0,111000.0,700500.0,26721.0,small_sample_caution,0
Unemployed,Band 3,3,0.06452250233333333,0.3333333333333333,0.0,128850.0,426000.0,14518.5,small_sample_caution,0
Unemployed,Band 4,7,0.09791046157142858,0.2857142857142857,0.0,140785.7142857143,810642.8571428572,29606.785714285714,small_sample_caution,0
Unemployed,Band 5 - Highest Risk,8,0.1782477025,0.625,0.625,62718.75,880312.5,31619.8125,small_sample_caution,0
Working,Band 1 - Lowest Risk,24703,0.020097527333425055,0.01364206776504878,0.0,181714.89250900698,639451.974112456,28474.37849162011,large_sample_interpretable,1
Working,Band 2,28349,0.036288827993862266,0.0282549649017602,0.0,168576.8464319729,629389.7465695438,27239.11210667419,large_sample_interpretable,1
Working,Band 3,31555,0.056255530090698856,0.052511487878307714,0.0,162287.75913912218,602052.5609729044,26468.3648854236,large_sample_interpretable,1
Working,Band 4,34662,0.09074876673714731,0.09295482084126709,0.0,156987.85996191794,558259.4204171716,25808.88783105418,large_sample_interpretable,1
Working,Band 5 - Highest Risk,39505,0.205038902756563,0.2330591064422225,0.6895835970130363,153822.16278179977,496829.26680167066,25337.193671687128,large_sample_interpretable,1
